/dmarker/@word	dmarker/@id	dmarker/orths/orth1/@orth1type	dmarker/orths/orth1/part1/@orth1typep1	dmarker/orths/orth1/orth1part1	dmarker/orths/orth1/part2/@orth1typep2	dmarker/orths/orth1/orth1part2	dmarker/syn/type	dmarker/syn/cat	dmarker/syn/context/mood	dmarker/syn/context/tense	dmarker/syn/modifier1	dmarker/syn/modifier2	dmarker/sem/relationl1	dmarker/sem/relationl2	dmarker/sem/relationl3	dmarker/synonym/@lexicon	dmarker/synonym/@entryid	dmarker/synonym	dmarker/examples/example1/@ex1source	dmarker/examples/example1	dmarker/examples/example2/@ex2source	dmarker/examples/example2	dmarker/examples/@ex3source	dmarker/examples/example3	dmarker/comment
a fim de	dm0	cont	phrasal	a fim de			primary connective	prep		infinitive			contingency	purpose	arg2-as-goal	dimlex-en	22	so that	CRPC	As forças principais chegaram ontem , a fim de treinar com as forças locais por um espaço de 15 dias .					
a fim de que	dm1	cont	phrasal	a fim de que			primary connective	csu	subjunctive				contingency	purpose	arg2-as-goal	dimlex-en	22	so that	CRPC	Por fim , a Comissão sugere um sistema de etiquetagem das viaturas a fim de que o cliente possa fazer uma escolha com melhor conhecimento de causa e passar a rolar mais por menos dinheiro , sem poluir o ambiente , ao volante do que se chama já a viatura do futuro . 					
à medida que	dm2	cont	phrasal	à medida que			primary connective	csu					temporal	synchronous		dimlex-en	28	as	CRPC	À medida que se aproximam as festas de Nossa Senhora da Conceição , sucedem -se as movimentações à sua volta .					
a menos que	dm3	cont	phrasal	a menos que			primary connective	csu					comparison	concession	arg2-as-denier	dimlex-en	31	unless	CRPC	Por tudo isto , é de grande gravidade que seja o seu próprio dono , o Estado , a diminuir a sua imagem perante os eventuais interessados . A menos que as razões , como se disse , sejam suficientemente fortes e amplas para atitude tão drástica .					
a não ser que	dm4	cont	phrasal	a não ser que			primary connective	csu					comparison	concession	arg2-as-denier	dimlex-en	31	unless	CRPC	Quem sabe o que tem de ser feito poderá dialogar muito ou pouco , mas não hesitará na apresentação completa da sua razão e , se perder , não hesita na interpretação das consequências : é melhor sair , para poder voltar a combater com liberdade e convicção , do que ficar a executar o que não é o seu programa . A não ser que não haja convicções nem um sentido estratégico - e , então , também não há programa , só há o funcionalismo do poder .					
a partir do momento em que	dm5	cont	phrasal	a partir do momento em que			secondary connective	csu					temporal	asynchronous	succession	dimlex-en	75	as soon as	CRPC	A partir do momento em que decidiram enveredar pela vida pública , as suas vidas particulares ficaram abertas à curiosidade pública . 					
a propósito de	dm6	cont	phrasal	a propósito de			primary connective	prep					expansion	conjunction				apropos	CRPC	Vem tudo isto a propósito de ser possível deixar ir morrendo , dia a dia , noite após noite , em plena via pública e à vista de todos , cidadãos deste país e turistas , sem qualquer auxílio , uma idosa muito doente , que , com todos os seus problemas , não deixa de ser um ser humano , apesar de , pelo seu aspecto sujo e desgrenhado , mais parecer um animal abandonado .					
a razão é que	dm7	cont	phrasal	a razão era			altlex	noun					contingency	cause	reason			the reason is that	TedTalk1971	Enquanto eu via pessoas que conhecia, pessoas queridas, a recuperar dessa devastação, uma coisa que me incomodava profundamente era que muitos desses amputados do país não usavam as suas próteses. A razão, como vim a saber mais tarde, era que o encaixe das próteses era doloroso por não ser um encaixe perfeito.					
acontece que	dm8	cont	phrasal	acontece que			altlex	verb					expansion	conjunction				as it so happens	CRPC	Como a gráfica reclamava o pagamento , que nunca teria sido feito pelo partido ADI , Silva Duarte terá enviado um cheque da Ordem de Malta , sobre o Banco Comercial do Equador , de S. Tomé e Príncipe , no valor acordado . Acontece que esse cheque foi devolvido com a indicação que não seria compensável .					"Construção de 3 elementos, como «ora», P ora Q logo R., sendo R muitas vezes implícito). As perguntas nºs 33 e 34 da segunda parte do período de perguntas à Comissão eram dirigidas ao senhor Comissário Nielson P).
Acontece que o senhor Comissário Nielson não pode estar presente hoje por se encontrar na África do Sul (Q). Logo vamos saltar essas perguntas (R, aqui implícito)  
"
afinal	dm9	cont	single	afinal			primary connective	adv					expansion	conjunction		dimlex-en	36	in fact	CRPC	"Um dos seus "" slogans "" de combate eleitoral , antes de ser Governo , foi , precisamente , arredar o espectro do "" insucesso escolar "" . Afinal , estendeu -se ao comprido ."					Construção de 3 elementos ? P ; Q; afinal P' (Quis ir de táxi mas o museu não era assim tão longe. Afinal, foi a pé): substitution entre P e P': dentro de PDTB. Imaingo a resolução seguinte: entre P e Q ; relação conjunction, entre (P, Q) e P' relação result
agora	dm10	cont	single	agora			primary connective	adv					expansion	conjunction		dimlex-en	3	but	CRPC	Apesar de todos os esforços , tudo indica que não será ainda desta que veremos Ângelo Correia , Diamantino Marques e Pestana Teixeira , integrados num movimento de massas e a gritar « Não pagamos . Não pagamos » . Agora que teria muito impacte mediático , ninguém o nega . 					
agora que 	dm11	cont	phrasal	agora que			primary connective	csu					contingency	cause	reason	dimlex-en	63	now that 	CRPC	Agora que possuo um gravador de vídeo e vivo próximo de um clube de vídeo do tamanho de um supermercado , comecei a alugar cassettes que vejo à noite em casa .					
ainda	dm12	cont	single	ainda			primary connective	adv					expansion	conjunction		dimlex-en	18	also	CRPC	Diz , por exemplo , que há um abandono do quadro político e legal do anterior Ministério e da anterior política de saúde , substituindo -se estes por medidas avulsas com défice de transparência e até défice de democraticidade . Diz , ainda , que ninguém reparou até agora que esteja em curso uma política de saúde , que há um défice de democratização e que o actual Ministério se rege por metas determinadas pela sua visibilidade externa e não por uma política de saúde , salientando que governar a saúde não é a mesma coisa do que fazer obras públicas . 					
ainda assim	dm13	cont	phrasal	ainda assim			primary connective	adv					comparison	concession	arg2-as-denier	dimlex-en	17	however	CRPC	"Entretanto , e após o sorteio , Eurico Gomes , em representação do Sporting , cuja equipa B jogará na Zona Centro , disponibilizou -se a trocar com o Vilafranquense de modo a que este permanecesse na Zona que pretendia . Ainda assim , Amândio de Carvalho não aceitou a mudança , alegando ser "" impossível aceder a essa situação "" , uma vez que teria de se proceder uma consulta a todos os clubes ."					
ainda quando	dm14	cont	phrasal				primary connective	csu					comparison	concession	arg2-as-denier	dimlex-en	1	although	CRPC	Ainda quando tudo parece afundar -se ou quando as nuvens se carregam , não nos deixando aperceber o que está à nossa frente , é na solidariedade dos vários elementos , braços com braços , fôlego com fôlego do vizinho , que está a esperança do dia de amanhã .					
ainda que	dm15	cont	phrasal	ainda que			primary connective	csu	subjunctive				comparison	concession	arg2-as-denier	dimlex-en	1	although	CRPC	Este fármaco é usado há já alguns anos de uma forma rotineira nos hospitais portugueses na indução do trabalho de parto e nalguns abortos ao abrigo da lei , ainda que esta indicação não esteja prevista na respectiva bula .					
além de	dm16	cont	phrasal	além de			primary connective	prep		inflected infinitive			expansion	conjunction		dimlex-en	50	besides	CRPC	Para eliminar estas forças , as autoridades turcas têm assinado acordos de segurança com a Síria e o Irão , além de pressionarem os curdos iraquianos para expulsar do seu território os rebeldes curdos turcos .					
além de que	dm17	cont	phrasal	além de que			primary connective	csu	subjunctive				expansion	conjunction		dimlex-en	24	moreover	CRPC	"No entender do presidente da Câmara do Porto , este é "" um projecto muito importante para 2001 "" , na medida em que permitirá uma certa afirmação à Capital Europeia da Cultura . Além de que irá valorizar o centro histórico da cidade ."					
além disso	dm18	cont	phrasal	além disso			secondary connective	adv					expansion	conjunction		dimlex-en	50	besides	CRPC	Como se pode esperar , o cenário é calculado em tempo real e a sua apresentação é afectada pela posição do carro na pista , ou seja , as saídas de estrada e toques em alguns rails podem ser apreciadas de perto , com mais intensidade e rigor , comparativamente a jogos como o Mega Race onde a sequência de imagens se encontra pré-definida . Além disso , as multidões de entusiastas de rali continuam a marcar presença e aparecem nas bermas da estrada para apoiar o jogador no decurso da sua prova .					
além do mais	dm19	cont	phrasal	além do mais			primary connective	adv					expansion	conjunction		dimlex-en	24	moreover	CRPC	"Isto é , estão criadas , cada vez mais , as condições para a real e efectiva defesa dos contribuintes e reforço das suas garantias , que é uma coisa que interessa a todos . Agora , o que não vou é tratar os contribuintes , uns , como "" de primeira "" e , outros , como "" de segunda "" , reservando determinadas formas de intervenção apenas para os chamados "" contribuintes de primeira "" .  "					
aliás	dm20	cont	single	aliás			primary connective	adv					expansion	specification	arg2-as-detail	dimlex-en	36	in fact	CRPC	Criada com a finalidade de aproximar o Norte de Portugal e a região de Castela-Leão , nas vertentes cultural , social , económica e institucional , a Fundação foi apresentada na presença de Lucas Jiménez , presidente da Junta Regional Castela-Leão , que se deslocou ao Porto a convite de Ludgero Marques . Aliás , foi no decorrer desta visita de dois dias que Jiménez assinou o protocolo com a CCRN , na terça-feira , numa cerimónia em que Silva Peneda não fez uma única referência à Fundação Rei Afonso Henriques e apenas salientou a presença de Ludgero Marques na qualidade de dirigente máximo da AIPortuense . 					
aliás 	dm21	cont	single	aliás			primary connective	adv					comparison	Concession+SpeechAct	Arg2-as-denier+SpeechAct	dimlex-en	36	in fact	CRPC	Estou de acordo com o regresso à hora legal que vigorava antes de 1992 . Aliás , na minha opinião a hora nunca deveria ter alterado .					parecido com concession+speechact:arg2-as-denier (i say but i should say)
